交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁5号线磁器口站
",104273元/m2,/ 2002年建成,/板楼/塔板结合,崇文门,东城,https://bj.lianjia.com/xiaoqu/1111027380930/
"
近地铁5号线崇文门站
",101067元/m2,/ 2003年建成,/塔楼/板楼/塔板结合,崇文门,东城,https://bj.lianjia.com/xiaoqu/1111027381005/
"
近地铁2号线东直门站
",89503元/m2,/ 1985年建成,/塔楼/板楼/塔板结合,东直门,东城,https://bj.lianjia.com/xiaoqu/1111027375114/
"
近地铁6号线南锣鼓巷站
",133125元/m2,/ 1958年建成,/板楼,地安门,东城,https://bj.lianjia.com/xiaoqu/1111027373720/
"
近地铁14号线东段景泰站
",66303元/m2,/ 1963年建成,/板楼/平房,永定门,东城,https://bj.lianjia.com/xiaoqu/1111027376735/
"
近地铁7号线广渠门内站
",90214元/m2,/ 2002年建成,/塔楼,东花市,东城,https://bj.lianjia.com/xiaoqu/1111027374220/
"
近地铁2号线前门站
",94490元/m2,/ 1970年建成,/塔楼/板楼/塔板结合,崇文门,东城,https://bj.lianjia.com/xiaoqu/1111027378868/
"
近地铁2号线雍和宫站
",96233元/m2,/ 2001年建成,/塔板结合,和平里,东城,https://bj.lianjia.com/xiaoqu/1111027375215/
"
近地铁5号线崇文门站
",94928元/m2,/ 2005年建成,/板楼/塔板结合,崇文门,东城,https://bj.lianjia.com/xiaoqu/1111027374691/
"
近地铁7号线广渠门外站
",66924元/m2,/ 2009年建成,/塔楼/板楼/塔板结合,广渠门,东城,https://bj.lianjia.com/xiaoqu/1111027374519/
"
近地铁14号线东段方庄站
",74517元/m2,/ 2004年建成,/板楼/塔板结合,左安门,东城,https://bj.lianjia.com/xiaoqu/1111027382283/
"
近地铁2号线东直门站
",99320元/m2,/ 1940年建成,/塔楼/板楼/平房,东直门,东城,https://bj.lianjia.com/xiaoqu/1111027374080/
"
近地铁5号线磁器口站
",95222元/m2,/ 2001年建成,/板楼,崇文门,东城,https://bj.lianjia.com/xiaoqu/1111027380931/
"
近地铁7号线广渠门外站
",77963元/m2,/ 2003年建成,/塔楼,广渠门,东城,https://bj.lianjia.com/xiaoqu/1111027377351/
"
近地铁7号线广渠门内站
",86503元/m2,/ 2003年建成,/塔楼/塔板结合,东花市,东城,https://bj.lianjia.com/xiaoqu/1111027374216/
"
近地铁5号线和平里北街站
",94568元/m2,/ 1990年建成,/板楼/塔板结合,安贞,东城,https://bj.lianjia.com/xiaoqu/1111027380911/
"
近地铁7号线广渠门外站
",80132元/m2,/ 2002年建成,/塔楼/塔板结合,广渠门,东城,https://bj.lianjia.com/xiaoqu/1111027382190/
