交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁环线体育公园站
",18461元/m2,,/ 2011年建成,石子山,江北,https://cq.lianjia.com/xiaoqu/3611060982243/
"
",20087元/m2,,/ 2008年建成,北滨路,江北,https://cq.lianjia.com/xiaoqu/3611060210422/
"
",19681元/m2,,/ 2015年建成,江北嘴,江北,https://cq.lianjia.com/xiaoqu/3611063283681/
"
",14352元/m2,,/ 2012年建成,鸿恩寺,江北,https://cq.lianjia.com/xiaoqu/3611063891796/
"
",14443元/m2,,/ 2013年建成,石马河,江北,https://cq.lianjia.com/xiaoqu/3611100159881/
"
",15744元/m2,,/ 2010年建成,观音桥,江北,https://cq.lianjia.com/xiaoqu/3611057007713/
"
",13459元/m2,,/ 2008年建成,海尔路,江北,https://cq.lianjia.com/xiaoqu/3611059680639/
"
近地铁环线渝鲁站
",18168元/m2,,/ 2018年建成,海尔路,江北,https://cq.lianjia.com/xiaoqu/3620034344249010/
"
",16421元/m2,,/ 2013年建成,北滨路,江北,https://cq.lianjia.com/xiaoqu/367106053024836/
"
",17503元/m2,,/ 2008年建成,北滨路,江北,https://cq.lianjia.com/xiaoqu/3611057406932/
"
近地铁6号线五里店站
",18352元/m2,,/ 2013年建成,江北嘴,江北,https://cq.lianjia.com/xiaoqu/3620022691708855/
"
",14080元/m2,,/ 2010年建成,大石坝,江北,https://cq.lianjia.com/xiaoqu/3611057077012/
"
",12611元/m2,,/ 2012年建成,海尔路,江北,https://cq.lianjia.com/xiaoqu/3611057516578/
"
近地铁3号线观音桥站
",14438元/m2,,/ 2009年建成,观音桥,江北,https://cq.lianjia.com/xiaoqu/3611054829341/
"
",11080元/m2,,/ 2004年建成,大石坝,江北,https://cq.lianjia.com/xiaoqu/3611055110960/
"
近地铁5号线大石坝站
",15846元/m2,,/ 2010年建成,大石坝,江北,https://cq.lianjia.com/xiaoqu/3611099881015/
"
",18899元/m2,,/ 2016年建成,五里店,江北,https://cq.lianjia.com/xiaoqu/3620023351529828/
"
近地铁6号线红土地站
",17651元/m2,,/ 2006年建成,观音桥,江北,https://cq.lianjia.com/xiaoqu/3611057084082/
"
",18539元/m2,,/ 2015年建成,五里店,江北,https://cq.lianjia.com/xiaoqu/3611100877192/
"
近地铁6号线五里店站
",21001元/m2,,/ 2016年建成,江北嘴,江北,https://cq.lianjia.com/xiaoqu/3620022691715206/
"
",15314元/m2,,/ 2015年建成,鸿恩寺,江北,https://cq.lianjia.com/xiaoqu/369075663057306/
"
近地铁5号线大石坝站
",15759元/m2,,/ 2010年建成,大石坝,江北,https://cq.lianjia.com/xiaoqu/3611057682973/
"
",12723元/m2,,/ 2015年建成,海尔路,江北,https://cq.lianjia.com/xiaoqu/367100093706220/
"
近地铁6号线黄泥塝站
",15087元/m2,,/ 2006年建成,黄泥磅,江北,https://cq.lianjia.com/xiaoqu/3611060987986/
"
",18293元/m2,,/ 2016年建成,江北嘴,江北,https://cq.lianjia.com/xiaoqu/367166530171792/
"
近地铁环线体育公园站
",14843元/m2,,/ 2011年建成,石马河,江北,https://cq.lianjia.com/xiaoqu/3611060974700/
"
近地铁环线体育公园站
",13704元/m2,,/ 2012年建成,南桥寺,江北,https://cq.lianjia.com/xiaoqu/3611057605130/
"
近地铁3号线华新街站
",19200元/m2,,/ 2007年建成,北滨路,江北,https://cq.lianjia.com/xiaoqu/3611063392099/
"
近地铁6号线花卉园站
",18338元/m2,,/ 2015年建成,观音桥,江北,https://cq.lianjia.com/xiaoqu/367105118220856/
"
近地铁6号线五里店站
",13419元/m2,,/ 2007年建成,五里店,江北,https://cq.lianjia.com/xiaoqu/3611057416383/
"
近地铁5号线湖霞街站
",16701元/m2,,/ 2014年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611063845127/
"
近地铁5号线重光站
",15783元/m2,,/ 2015年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3620027922326618/
"
近地铁5号线重光站
",14358元/m2,,/ 2015年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611099974450/
"
",15140元/m2,,/ 2015年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3616927462273932/
"
近地铁5号线湖霞街站
",18349元/m2,,/ 2011年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/367122212367363/
"
",15676元/m2,,/ 2016年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611099955877/
"
近地铁3号线鸳鸯站
",15354元/m2,,/ 2014年建成,鸳鸯,渝北,https://cq.lianjia.com/xiaoqu/3611063779038/
"
近地铁国博线国博中心站
",13146元/m2,,/ 2015年建成,悦来,渝北,https://cq.lianjia.com/xiaoqu/3611063907919/
"
",15406元/m2,,/ 2014年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611063904996/
"
近地铁环线体育公园站
",13146元/m2,,/ 2008年建成,石子山,渝北,https://cq.lianjia.com/xiaoqu/3611057588773/
"
近地铁5号线重光站
",19312元/m2,,/ 2014年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611099886513/
"
近地铁5号线重光站
",16433元/m2,,/ 2012年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611060109268/
"
近地铁3号线童家院子站
",15907元/m2,,/ 2010年建成,汽博中心,渝北,https://cq.lianjia.com/xiaoqu/3611057220052/
"
近地铁5号线重光站
",18615元/m2,,/ 2011年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3611060178301/
"
",14933元/m2,,/ 2012年建成,照母山,渝北,https://cq.lianjia.com/xiaoqu/3616843544234698/
"
近地铁6号线红土地站
",14421元/m2,,/ 2007年建成,龙头寺,渝北,https://cq.lianjia.com/xiaoqu/3611056766164/
"
近地铁3号线金渝站
",14253元/m2,,/ 2009年建成,汽博中心,渝北,https://cq.lianjia.com/xiaoqu/3611057189508/
"
近地铁环线渝鲁站
",18559元/m2,,/ 2013年建成,龙头寺,渝北,https://cq.lianjia.com/xiaoqu/3611056715593/
