交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁2号线辛寨子站
",11768元/m2,,/ 1996年建成,美林园,甘井子,https://dl.lianjia.com/xiaoqu/1311047787340/
"
近地铁1号线千山路站
",13130元/m2,,/ 1900年建成,山东路,甘井子,https://dl.lianjia.com/xiaoqu/1311041913939/
"
近地铁3号线联运泉水站
",13732元/m2,,/ 2000年建成,泉水锦泉源,甘井子,https://dl.lianjia.com/xiaoqu/1311043665643/
"
",24132元/m2,,/ 2016年建成,第五郡,甘井子,https://dl.lianjia.com/xiaoqu/1311063281193/
"
近地铁2号线辛寨子站
",10970元/m2,,/ 1995年建成,泡崖四区,甘井子,https://dl.lianjia.com/xiaoqu/1311047787490/
"
近地铁1号线千山路站
",12827元/m2,,/ 1986年建成,山东路,甘井子,https://dl.lianjia.com/xiaoqu/1311041943654/
"
近地铁1号线华南北站
",19944元/m2,,/ 2015年建成,华南,甘井子,https://dl.lianjia.com/xiaoqu/1311047610318/
"
",11531元/m2,,/ 1995年建成,泡崖市场,甘井子,https://dl.lianjia.com/xiaoqu/1311047787596/
"
近地铁3号线联运泉水站
",13028元/m2,,/ 2002年建成,泉水龙畔金泉,甘井子,https://dl.lianjia.com/xiaoqu/1311042650404/
"
近地铁1号线千山路站
",12911元/m2,,/ 1985年建成,山东路,甘井子,https://dl.lianjia.com/xiaoqu/1311041905952/
"
近地铁3号线联运泉水站
",14151元/m2,,/ 2007年建成,泉水美域盛景,甘井子,https://dl.lianjia.com/xiaoqu/1311041967449/
"
",12970元/m2,,/ 2006年建成,泉水美域盛景,甘井子,https://dl.lianjia.com/xiaoqu/1311041965909/
"
",12816元/m2,,/ 2000年建成,泉水龙畔金泉,甘井子,https://dl.lianjia.com/xiaoqu/1311042650400/
"
近地铁1号线华北路站
",13239元/m2,,/ 1988年建成,泉水锦泉源,甘井子,https://dl.lianjia.com/xiaoqu/1311044675854/
"
",14689元/m2,,/ 2005年建成,魅力之城,甘井子,https://dl.lianjia.com/xiaoqu/2911051764120/
"
近地铁1号线华南广场站
",17497元/m2,,/ 2003年建成,华南,甘井子,https://dl.lianjia.com/xiaoqu/1311045496240/
"
近地铁2号线虹港路站
",16230元/m2,,/ 2009年建成,第五郡,甘井子,https://dl.lianjia.com/xiaoqu/1311042631654/
"
",11016元/m2,,/ 1966年建成,甘井子,甘井子,https://dl.lianjia.com/xiaoqu/1311042681172/
"
近地铁3号线联运泉水站
",16152元/m2,,/ 1987年建成,泉水美域盛景,甘井子,https://dl.lianjia.com/xiaoqu/2911051078388/
"
近地铁1号线华南北站
",20321元/m2,,/ 2000年建成,华南,甘井子,https://dl.lianjia.com/xiaoqu/1311047288150/
