交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁4号线车陂站
",47097元/m2,,/ 1997年建成,棠下,天河,https://gz.lianjia.com/xiaoqu/2110343238337395/
"
近地铁21号线棠东站
",30940元/m2,,/ 1997年建成,棠下,天河,https://gz.lianjia.com/xiaoqu/2110343238599043/
"
近地铁4号线车陂站
",41229元/m2,,/ 2000年建成,棠下,天河,https://gz.lianjia.com/xiaoqu/2110343238336894/
"
近地铁6号线燕塘站
",34908元/m2,,/ 1995年建成,粤垦,天河,https://gz.lianjia.com/xiaoqu/2111103316906/
"
",59663元/m2,,/ 1997年建成,华景新城,天河,https://gz.lianjia.com/xiaoqu/2110343238861212/
"
近地铁4号线黄村站
",39750元/m2,,/ 1999年建成,东圃,天河,https://gz.lianjia.com/xiaoqu/2111103317123/
"
近地铁4号线黄村站
",37948元/m2,,/ 2002年建成,黄村,天河,https://gz.lianjia.com/xiaoqu/2110343238598788/
"
近地铁4号线车陂站
",47907元/m2,,/ 2002年建成,棠下,天河,https://gz.lianjia.com/xiaoqu/2110343238336895/
"
",57577元/m2,,/ 1996年建成,华景新城,天河,https://gz.lianjia.com/xiaoqu/2110343238861213/
"
近地铁21号线棠东站
",41311元/m2,,/ 2003年建成,棠下,天河,https://gz.lianjia.com/xiaoqu/2111103318009/
"
近地铁5号线猎德站
",82580元/m2,,/ 2004年建成,珠江新城中,天河,https://gz.lianjia.com/xiaoqu/2111103318061/
"
近地铁1号线体育中心站
",47497元/m2,,/ 1990年建成,天河南,天河,https://gz.lianjia.com/xiaoqu/2110343238599013/
"
",54845元/m2,,/ 2002年建成,华景新城,天河,https://gz.lianjia.com/xiaoqu/2110343238598823/
"
近地铁3号线天河客运站站
",32166元/m2,,/ 1990年建成,长兴,天河,https://gz.lianjia.com/xiaoqu/2111103316586/
"
近地铁3号线北延段林和西站
",65902元/m2,,/ 2002年建成,林和,天河,https://gz.lianjia.com/xiaoqu/2111103316916/
"
",52782元/m2,,/ 1999年建成,华景新城,天河,https://gz.lianjia.com/xiaoqu/2110343238861194/
"
近地铁3号线天河客运站站
",30970元/m2,,/ 2003年建成,天河客运站,天河,https://gz.lianjia.com/xiaoqu/2111103316746/
"
近地铁4号线车陂站
",35724元/m2,,/ 1998年建成,车陂,天河,https://gz.lianjia.com/xiaoqu/2111103316813/
"
",47475元/m2,,/ 1997年建成,粤垦,天河,https://gz.lianjia.com/xiaoqu/2110343238861670/
"
近地铁21号线天河公园站
",51135元/m2,,/ 1996年建成,天河公园,天河,https://gz.lianjia.com/xiaoqu/2111103316590/
"
近地铁6号线天平架站
",38824元/m2,,/ 2008年建成,燕塘,天河,https://gz.lianjia.com/xiaoqu/2111103318880/
"
近地铁21号线天河智慧城站
",28666元/m2,,/ 2015年建成,高唐,天河,https://gz.lianjia.com/xiaoqu/2113332985951162/
"
近地铁5号线东圃站
",36026元/m2,,/ 1998年建成,东圃,天河,https://gz.lianjia.com/xiaoqu/2111103316438/
"
近地铁6号线燕塘站
",41517元/m2,,/ 2002年建成,燕塘,天河,https://gz.lianjia.com/xiaoqu/2110343238336962/
"
近地铁5号线三溪站
",49197元/m2,,/ 2002年建成,东圃,天河,https://gz.lianjia.com/xiaoqu/2111103317931/
"
近地铁6号线天平架站
",26951元/m2,,/ 1997年建成,燕塘,天河,https://gz.lianjia.com/xiaoqu/2111103318930/
"
近地铁3号线华师站
",51113元/m2,,/ 2004年建成,天润路,天河,https://gz.lianjia.com/xiaoqu/2111103316873/
"
",42776元/m2,,/ 1999年建成,天河公园,天河,https://gz.lianjia.com/xiaoqu/2111103316919/
"
近地铁1号线广州东站站
",28917元/m2,,/ 2002年建成,林和,天河,https://gz.lianjia.com/xiaoqu/2111103318000/
"
近地铁5号线猎德站
",95310元/m2,,/ 2005年建成,珠江新城中,天河,https://gz.lianjia.com/xiaoqu/2111103319096/
"
近地铁3号线珠江新城站
",43430元/m2,,/ 1986年建成,五羊新城,越秀,https://gz.lianjia.com/xiaoqu/2110343238336898/
"
近地铁5号线动物园站
",82554元/m2,,/ 1990年建成,东风东,越秀,https://gz.lianjia.com/xiaoqu/2111103317036/
"
近地铁6号线沙河顶站
",42961元/m2,,/ 1985年建成,水荫,越秀,https://gz.lianjia.com/xiaoqu/2110343239123192/
"
近地铁1号线西门口站
",34593元/m2,,/ 1988年建成,西华路,越秀,https://gz.lianjia.com/xiaoqu/2110343239123386/
"
近地铁1号线陈家祠站
",50299元/m2,,/ 1988年建成,东风西,越秀,https://gz.lianjia.com/xiaoqu/2111103316934/
"
近地铁1号线杨箕站
",42387元/m2,,/ 1989年建成,五羊新城,越秀,https://gz.lianjia.com/xiaoqu/2110343238861622/
"
近地铁5号线淘金站
",44547元/m2,,/ 1995年建成,淘金,越秀,https://gz.lianjia.com/xiaoqu/2111103316576/
"
近地铁1号线杨箕站
",54496元/m2,,/ 1996年建成,杨箕,越秀,https://gz.lianjia.com/xiaoqu/2111103319001/
"
近地铁6号线沙河顶站
",40988元/m2,,/ 1986年建成,水荫,越秀,https://gz.lianjia.com/xiaoqu/2111103831696/
"
近地铁6号线北京路站
",48823元/m2,,/ 2000年建成,越秀南,越秀,https://gz.lianjia.com/xiaoqu/2111103316839/
"
近地铁1号线杨箕站
",70814元/m2,,/ 2004年建成,杨箕,越秀,https://gz.lianjia.com/xiaoqu/2111103316774/
"
近地铁1号线杨箕站
",58530元/m2,,/ 2002年建成,五羊新城,越秀,https://gz.lianjia.com/xiaoqu/2111103316369/
"
近地铁1号线杨箕站
",79368元/m2,,/ 1997年建成,东风东,越秀,https://gz.lianjia.com/xiaoqu/2111103316776/
"
近地铁5号线小北站
",28708元/m2,,/ 1987年建成,麓景,越秀,https://gz.lianjia.com/xiaoqu/2111103831612/
"
近地铁1号线公园前站
",31860元/m2,,/ 1985年建成,西门口,越秀,https://gz.lianjia.com/xiaoqu/2111103831620/
"
近地铁6号线黄花岗站
",40812元/m2,,/ 1980年建成,黄花岗,越秀,https://gz.lianjia.com/xiaoqu/2111103319074/
"
近地铁1号线公园前站
",30987元/m2,,/ 1900年建成,解放南,越秀,https://gz.lianjia.com/xiaoqu/2111103831654/
"
近地铁5号线五羊邨站
",50646元/m2,,/ 1998年建成,杨箕,越秀,https://gz.lianjia.com/xiaoqu/2111103317132/
"
近地铁5号线小北站
",34903元/m2,,/ 1980年建成,麓景,越秀,https://gz.lianjia.com/xiaoqu/2111587653743411/
"
近地铁2号线三元里站
",21663元/m2,,/ 1993年建成,三元里,越秀,https://gz.lianjia.com/xiaoqu/2120035439509564/
"
近地铁2号线纪念堂站
",33033元/m2,,/ 1982年建成,东风西,越秀,https://gz.lianjia.com/xiaoqu/219098274812590/
"
",54485元/m2,,/ 1985年建成,东风东,越秀,https://gz.lianjia.com/xiaoqu/2120036099320042/
"
近地铁5号线动物园站
",44189元/m2,,/ 1982年建成,环市东,越秀,https://gz.lianjia.com/xiaoqu/2111103316427/
"
近地铁5号线五羊邨站
",51089元/m2,,/ 2003年建成,五羊新城,越秀,https://gz.lianjia.com/xiaoqu/2111103317399/
"
近地铁6号线黄花岗站
",55823元/m2,,/ 1993年建成,黄花岗,越秀,https://gz.lianjia.com/xiaoqu/2111103831544/
"
近地铁6号线黄花岗站
",64752元/m2,,/ 1993年建成,淘金,越秀,https://gz.lianjia.com/xiaoqu/2111103316943/
"
近地铁6号线北京路站
",28189元/m2,,/ 1997年建成,北京路,越秀,https://gz.lianjia.com/xiaoqu/2111103831588/
"
近地铁1号线西门口站
",26808元/m2,,/ 1993年建成,西华路,越秀,https://gz.lianjia.com/xiaoqu/2110343239123190/
"
近地铁5号线淘金站
",69675元/m2,,/ 2009年建成,建设路,越秀,https://gz.lianjia.com/xiaoqu/2111103318234/
"
近地铁5号线西场站
",37507元/m2,,/ 1999年建成,南岸路,荔湾,https://gz.lianjia.com/xiaoqu/2110343238336996/
"
近地铁1号线陈家祠站
",36433元/m2,,/ 1988年建成,周门,荔湾,https://gz.lianjia.com/xiaoqu/2110343238337359/
"
近地铁1号线陈家祠站
",44845元/m2,,/ 1993年建成,中山八,荔湾,https://gz.lianjia.com/xiaoqu/2110343238337382/
"
",29177元/m2,,/ 2011年建成,龙溪,荔湾,https://gz.lianjia.com/xiaoqu/2111103319461/
"
",31941元/m2,,/ 2014年建成,龙溪,荔湾,https://gz.lianjia.com/xiaoqu/2111103318712/
