交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁地铁2号线白洋站
",27782元/m2,,/ 2000年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/2711052220068/
"
近地铁地铁2号线金家渡站
",39062元/m2,,/ 2012年建成,三墩,西湖,https://hz.lianjia.com/xiaoqu/1811628648345706/
"
近地铁地铁2号线白洋站
",26556元/m2,,/ 2006年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/1820030057862203/
"
",27377元/m2,,/ 2007年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/2711051262347/
"
近地铁地铁2号线古翠路站
",38259元/m2,,/ 1986年建成,翠苑,西湖,https://hz.lianjia.com/xiaoqu/1811043641797/
"
",32436元/m2,,/ 2000年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/1811407778132789/
"
近地铁地铁2号线学院路站
",43056元/m2,,/ 1985年建成,翠苑,西湖,https://hz.lianjia.com/xiaoqu/1811043641800/
"
近地铁地铁2号线古翠路站
",39600元/m2,,/ 1993年建成,翠苑,西湖,https://hz.lianjia.com/xiaoqu/1811043641798/
"
近地铁地铁2号线古翠路站
",38003元/m2,,/ 1995年建成,翠苑,西湖,https://hz.lianjia.com/xiaoqu/1811043641799/
"
",33641元/m2,,/ 1995年建成,嘉绿,西湖,https://hz.lianjia.com/xiaoqu/1811043641836/
"
近地铁地铁5号线蒋村站
",52147元/m2,,/ 2015年建成,西溪,西湖,https://hz.lianjia.com/xiaoqu/1811100790579/
"
",22987元/m2,,/ 2005年建成,留下,西湖,https://hz.lianjia.com/xiaoqu/1811043636326/
"
",28110元/m2,,/ 2000年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/2711051257401/
"
近地铁地铁2号线古翠路站
",51069元/m2,,/ 1996年建成,嘉绿,西湖,https://hz.lianjia.com/xiaoqu/1811044030452/
"
",27310元/m2,,/ 2012年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/2711051276069/
"
近地铁地铁2号线古翠路站
",45751元/m2,,/ 1998年建成,嘉绿,西湖,https://hz.lianjia.com/xiaoqu/1811043641704/
"
近地铁地铁2号线文新站
",41992元/m2,,/ 1995年建成,文一西路,西湖,https://hz.lianjia.com/xiaoqu/1811046018272/
"
近地铁地铁2号线丰潭路站
",43251元/m2,,/ 1997年建成,文三西路,西湖,https://hz.lianjia.com/xiaoqu/1811043641392/
"
",44380元/m2,,/ 2009年建成,西溪,西湖,https://hz.lianjia.com/xiaoqu/1811043641563/
"
近地铁地铁5号线浙大紫金港站
",46040元/m2,,/ 2013年建成,西溪,西湖,https://hz.lianjia.com/xiaoqu/1811057084140/
"
近地铁地铁2号线白洋站
",23610元/m2,,/ 2012年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/1811062687669/
"
近地铁地铁2号线丰潭路站
",47009元/m2,,/ 2004年建成,嘉绿,西湖,https://hz.lianjia.com/xiaoqu/1811043641699/
"
近地铁地铁2号线三坝站
",67114元/m2,,/ 2007年建成,申花,西湖,https://hz.lianjia.com/xiaoqu/1811043641525/
"
近地铁地铁2号线墩祥街站
",34670元/m2,,/ 2003年建成,三墩,西湖,https://hz.lianjia.com/xiaoqu/1811043641551/
"
",28306元/m2,,/ 2000年建成,良渚,西湖,https://hz.lianjia.com/xiaoqu/2711052217584/
"
",46900元/m2,,/ 2013年建成,西溪,西湖,https://hz.lianjia.com/xiaoqu/2711054697575/
