交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
",41765元/m2,,/ 2016年建成,建宁路,鼓楼,https://nj.lianjia.com/xiaoqu/1411063992104/
"
",31831元/m2,,/ 1979年建成,热河南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411041513095/
"
近地铁1号线珠江路站
",38170元/m2,,/ 2005年建成,华侨路,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000367/
"
近地铁2号线莫愁湖站
",36138元/m2,,/ 1983年建成,汉中门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000227/
"
近地铁4号线龙江站
",65855元/m2,,/ 1970年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411041892966/
"
近地铁4号线云南路站
",37038元/m2,,/ 1966年建成,湖南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411041189955/
"
",39128元/m2,,/ 2000年建成,热河南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411046888791/
"
",58086元/m2,,/ 1994年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411041188890/
"
近地铁4号线龙江站
",41658元/m2,,/ 1991年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000640/
"
近地铁1号线新街口站
",40436元/m2,,/ 1974年建成,华侨路,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000099/
"
",55145元/m2,,/ 2005年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411059825765/
"
近地铁1号线鼓楼站
",42753元/m2,,/ 1982年建成,湖南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000335/
"
",69343元/m2,,/ 1996年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411046046023/
"
近地铁4号线龙江站
",52640元/m2,,/ 1995年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000533/
"
",42198元/m2,,/ 1975年建成,水佐岗,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000626/
"
近地铁4号线龙江站
",65345元/m2,,/ 1979年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411041537407/
"
近地铁4号线草场门站
",57990元/m2,,/ 1995年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000082/
"
近地铁3号线五塘广场站
",26412元/m2,,/ 1978年建成,五塘广场,鼓楼,https://nj.lianjia.com/xiaoqu/1411046698611/
"
",42083元/m2,,/ 1987年建成,三牌楼,鼓楼,https://nj.lianjia.com/xiaoqu/1411043462683/
"
近地铁4号线龙江站
",42814元/m2,,/ 1992年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000016/
"
近地铁2号线汉中门站
",64422元/m2,,/ 1996年建成,凤凰西街,鼓楼,https://nj.lianjia.com/xiaoqu/2511051612880/
"
近地铁4号线龙江站
",43392元/m2,,/ 2001年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000851/
"
",64131元/m2,,/ 1997年建成,凤凰西街,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000254/
"
",29056元/m2,,/ 1990年建成,福建路,鼓楼,https://nj.lianjia.com/xiaoqu/1411043420901/
"
近地铁4号线草场门站
",34390元/m2,,/ 1985年建成,龙江,鼓楼,https://nj.lianjia.com/xiaoqu/1411044025155/
"
",58770元/m2,,/ 1996年建成,定淮门大街,鼓楼,https://nj.lianjia.com/xiaoqu/1411041187593/
"
",68925元/m2,,/ 1998年建成,凤凰西街,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000782/
"
",29666元/m2,,/ 1989年建成,热河南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411046705356/
"
近地铁2号线汉中门站
",70569元/m2,,/ 1980年建成,宁海路,鼓楼,https://nj.lianjia.com/xiaoqu/1411000000248/
"
",30346元/m2,,/ 1983年建成,热河南路,鼓楼,https://nj.lianjia.com/xiaoqu/1411046606984/
"
近地铁s3号线永初路站
",26404元/m2,,/ 2012年建成,奥南,建邺,https://nj.lianjia.com/xiaoqu/1411046494555/
"
近地铁s3号线永初路站
",27177元/m2,,/ 2007年建成,奥南,建邺,https://nj.lianjia.com/xiaoqu/1411047634932/
"
近地铁2号线油坊桥站
",25053元/m2,,/ 2008年建成,油坊桥,建邺,https://nj.lianjia.com/xiaoqu/1411046930504/
"
近地铁2号线油坊桥站
",23881元/m2,,/ 2012年建成,油坊桥,建邺,https://nj.lianjia.com/xiaoqu/1411046761918/
"
近地铁2号线油坊桥站
",25546元/m2,,/ 2005年建成,油坊桥,建邺,https://nj.lianjia.com/xiaoqu/1411000000436/
"
近地铁2号线云锦路站
",31214元/m2,,/ 1991年建成,茶南,建邺,https://nj.lianjia.com/xiaoqu/1411000000670/
"
近地铁2号线云锦路站
",29673元/m2,,/ 1991年建成,湖西街,建邺,https://nj.lianjia.com/xiaoqu/1411000000506/
"
近地铁2号线集庆门大街站
",28977元/m2,,/ 1984年建成,南湖,建邺,https://nj.lianjia.com/xiaoqu/1411000000814/
"
近地铁2号线云锦路站
",30511元/m2,,/ 1992年建成,茶南,建邺,https://nj.lianjia.com/xiaoqu/1411000000557/
"
近地铁10号线奥体中心站
",51011元/m2,,/ 2005年建成,奥体,建邺,https://nj.lianjia.com/xiaoqu/1411000000376/
"
近地铁2号线集庆门大街站
",47941元/m2,,/ 2009年建成,湖西街,建邺,https://nj.lianjia.com/xiaoqu/1411000000346/
