交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁3号线敦化路站
",36487元/m2,/ 2016年建成,/板楼,福安,市南,https://qd.lianjia.com/xiaoqu/1511063024675/
"
",26214元/m2,/ 1994年建成,/板楼,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041336232/
"
近地铁3号线江西路站
",29195元/m2,/ 2000年建成,/板楼,新贵都,市南,https://qd.lianjia.com/xiaoqu/1511041216222/
"
",35130元/m2,/ 2009年建成,/板楼/塔板结合,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041363212/
"
近地铁3号线五四广场站
",49704元/m2,/ 2014年建成,/板楼,湛山,市南,https://qd.lianjia.com/xiaoqu/1511047980424/
"
近地铁2号线芝泉路站
",21006元/m2,/ 1978年建成,/板楼,镇江路,市南,https://qd.lianjia.com/xiaoqu/1511041371684/
"
近地铁2号线芝泉路站
",31165元/m2,/ 1978年建成,/板楼,镇江路,市南,https://qd.lianjia.com/xiaoqu/1511044596054/
"
近地铁3号线江西路站
",38849元/m2,/ 2006年建成,/塔楼/板楼,闽江路,市南,https://qd.lianjia.com/xiaoqu/1511041262368/
"
近地铁3号线敦化路站
",32608元/m2,/ 2009年建成,/板楼,中央CBD,市南,https://qd.lianjia.com/xiaoqu/1511041224975/
"
",26991元/m2,/ 2008年建成,/板楼/塔板结合/平房,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041282774/
"
近地铁2号线芝泉路站
",32489元/m2,/ 1981年建成,/板楼,镇江路,市南,https://qd.lianjia.com/xiaoqu/1511057339148/
"
",31367元/m2,/ 2011年建成,/板楼,西镇,市南,https://qd.lianjia.com/xiaoqu/1511062872924/
"
",30998元/m2,/ 2010年建成,/板楼,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041357025/
"
",39523元/m2,/ 1949年建成,/板楼/塔板结合,大学路,市南,https://qd.lianjia.com/xiaoqu/158122973041515/
"
",26045元/m2,/ 2008年建成,/板楼,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041317683/
"
",25093元/m2,/ 1995年建成,/板楼,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041318667/
"
近地铁3号线宁夏路站
",25082元/m2,/ 1993年建成,/板楼,八大湖,市南,https://qd.lianjia.com/xiaoqu/1511044651512/
"
近地铁2号线浮山所站
",20915元/m2,/ 2003年建成,/塔楼,五四广场,市南,https://qd.lianjia.com/xiaoqu/1511041229546/
"
近地铁3号线江西路站
",24855元/m2,/ 1984年建成,/板楼,闽江路,市南,https://qd.lianjia.com/xiaoqu/1511041359928/
"
",24741元/m2,/ 1993年建成,/板楼,大尧,市南,https://qd.lianjia.com/xiaoqu/1511041359927/
"
",29886元/m2,/ 2003年建成,/板楼,天山银海,市南,https://qd.lianjia.com/xiaoqu/1511041340874/
