交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁2号线(蛇口线)湖贝站
",57140元/m2,,/ 2006年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049130525/
"
近地铁9号线向西村站
",51461元/m2,,/ 2005年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411048993634/
"
近地铁7号线笋岗站
",54794元/m2,,/ 2003年建成,笋岗,罗湖区,https://sz.lianjia.com/xiaoqu/2411048682858/
"
",50908元/m2,,/ 2003年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411048850665/
"
近地铁9号线人民南站
",59352元/m2,,/ 2004年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049147046/
"
近地铁9号线文锦站
",62920元/m2,,/ 2004年建成,黄贝岭,罗湖区,https://sz.lianjia.com/xiaoqu/2411049442194/
"
近地铁3号线(龙岗线)晒布站
",73222元/m2,,/ 2003年建成,螺岭,罗湖区,https://sz.lianjia.com/xiaoqu/2411048932095/
"
近地铁3号线(龙岗线)水贝站
",56006元/m2,,/ 2001年建成,布心,罗湖区,https://sz.lianjia.com/xiaoqu/2411048903207/
"
近地铁1号线(罗宝线)大剧院站
",49424元/m2,,/ 1999年建成,地王,罗湖区,https://sz.lianjia.com/xiaoqu/2411048495990/
"
近地铁2号线(蛇口线)新秀站
",51976元/m2,,/ 2004年建成,新秀,罗湖区,https://sz.lianjia.com/xiaoqu/2411049110994/
"
近地铁9号线向西村站
",47544元/m2,,/ 2004年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049189117/
"
近地铁2号线(蛇口线)黄贝岭站
",69788元/m2,,/ 2017年建成,黄贝岭,罗湖区,https://sz.lianjia.com/xiaoqu/2411062843778/
"
近地铁3号线(龙岗线)草埔站
",42144元/m2,,/ 1997年建成,清水河,罗湖区,https://sz.lianjia.com/xiaoqu/2411048520439/
"
近地铁5号线(环中线)怡景站
",60185元/m2,,/ 2007年建成,百仕达,罗湖区,https://sz.lianjia.com/xiaoqu/2411048928212/
"
",47940元/m2,,/ 1996年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411063082099/
"
近地铁2号线(蛇口线)黄贝岭站
",78544元/m2,,/ 2003年建成,螺岭,罗湖区,https://sz.lianjia.com/xiaoqu/2411049441058/
"
近地铁9号线向西村站
",62581元/m2,,/ 2004年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049110583/
"
近地铁3号线(龙岗线)田贝站
",50051元/m2,,/ 2000年建成,百仕达,罗湖区,https://sz.lianjia.com/xiaoqu/2411048579962/
"
",56599元/m2,,/ 2004年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411049334918/
"
近地铁3号线(龙岗线)红岭站
",64637元/m2,,/ 2005年建成,地王,罗湖区,https://sz.lianjia.com/xiaoqu/246924722254573/
"
",57077元/m2,,/ 2005年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411048848703/
"
",55284元/m2,,/ 2005年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411099689856/
"
近地铁1号线(罗宝线)国贸站
",50604元/m2,,/ 2005年建成,万象城,罗湖区,https://sz.lianjia.com/xiaoqu/2411048417496/
"
",59729元/m2,,/ 2007年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411048852481/
"
近地铁9号线人民南站
",53627元/m2,,/ 2008年建成,罗湖口岸,罗湖区,https://sz.lianjia.com/xiaoqu/2411049189314/
"
近地铁9号线向西村站
",39819元/m2,,/ 1994年建成,罗湖口岸,罗湖区,https://sz.lianjia.com/xiaoqu/2411049247099/
"
近地铁9号线向西村站
",50013元/m2,,/ 2002年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049118183/
"
近地铁9号线向西村站
",49986元/m2,,/ 2003年建成,春风路,罗湖区,https://sz.lianjia.com/xiaoqu/2411049110207/
"
近地铁3号线(龙岗线)翠竹站
",57814元/m2,,/ 2002年建成,洪湖,罗湖区,https://sz.lianjia.com/xiaoqu/2411048482414/
"
",54103元/m2,,/ 2004年建成,莲塘,罗湖区,https://sz.lianjia.com/xiaoqu/2411049505067/
"
近地铁7号线沙尾站
",60748元/m2,,/ 2005年建成,新洲,福田区,https://sz.lianjia.com/xiaoqu/2411048614076/
"
近地铁7号线上沙站
",63061元/m2,,/ 2005年建成,新洲,福田区,https://sz.lianjia.com/xiaoqu/2411048931840/
"
近地铁7号线赤尾站
",64664元/m2,,/ 2003年建成,赤尾,福田区,https://sz.lianjia.com/xiaoqu/2411050506921/
