交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁8号线中一路站
",18684元/m2,,/ 2015年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711062927951/
"
近地铁8号线中一路站
",18947元/m2,,/ 2014年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3714238660462740/
"
近地铁8号线塔子湖站
",18023元/m2,,/ 2012年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/376829173124157/
"
近地铁8号线塔子湖站
",19017元/m2,,/ 2010年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711063250928/
"
近地铁8号线塔子湖站
",20803元/m2,,/ 2013年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711062885724/
"
近地铁21号线(阳逻线)后湖大道站
",17797元/m2,,/ 2006年建成,后湖,江岸,https://wh.lianjia.com/xiaoqu/3711057035959/
"
近地铁6号线杨汊湖站
",17363元/m2,,/ 2010年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/378689980026048/
"
近地铁3号线市民之家站
",17876元/m2,,/ 2015年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711099434403/
"
近地铁8号线塔子湖站
",17973元/m2,,/ 2017年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3714573170626161/
"
近地铁3号线兴业路站
",21396元/m2,,/ 2015年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711062760131/
"
近地铁1号线二七路站
",22670元/m2,,/ 2004年建成,二七,江岸,https://wh.lianjia.com/xiaoqu/3711057140337/
"
近地铁21号线(阳逻线)百步亭花园路站
",21983元/m2,,/ 2008年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711056671103/
"
近地铁21号线(阳逻线)百步亭花园路站
",19298元/m2,,/ 2011年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711056679539/
"
",17010元/m2,,/ 2000年建成,后湖,江岸,https://wh.lianjia.com/xiaoqu/3711057375590/
"
近地铁3号线兴业路站
",16521元/m2,,/ 1999年建成,后湖,江岸,https://wh.lianjia.com/xiaoqu/3711056764482/
"
近地铁1号线二七路站
",26061元/m2,,/ 2009年建成,二七,江岸,https://wh.lianjia.com/xiaoqu/3711057215624/
"
近地铁1号线新荣站
",16106元/m2,,/ 2014年建成,堤角,江岸,https://wh.lianjia.com/xiaoqu/3711063181024/
"
近地铁3号线兴业路站
",25572元/m2,,/ 2001年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711099882427/
"
近地铁8号线中一路站
",17093元/m2,,/ 2013年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711060396626/
"
",17282元/m2,,/ 2015年建成,后湖,江岸,https://wh.lianjia.com/xiaoqu/3711099413749/
"
近地铁21号线(阳逻线)百步亭花园路站
",15351元/m2,,/ 2001年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711056682650/
"
近地铁21号线(阳逻线)新荣客运站站
",17466元/m2,,/ 2012年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3714870798699450/
"
近地铁8号线中一路站
",18759元/m2,,/ 2017年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/378389333103479/
"
近地铁1号线丹水池站
",15807元/m2,,/ 2015年建成,百步亭,江岸,https://wh.lianjia.com/xiaoqu/3711099389626/
"
近地铁6号线杨汊湖站
",18970元/m2,,/ 2013年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711057322313/
"
近地铁3号线香港路站
",32763元/m2,,/ 2004年建成,育才花桥,江岸,https://wh.lianjia.com/xiaoqu/3711056956752/
"
近地铁3号线罗家庄站
",17050元/m2,,/ 1974年建成,黄埔永清,江岸,https://wh.lianjia.com/xiaoqu/3711057588405/
"
近地铁6号线杨汊湖站
",18658元/m2,,/ 2016年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3711063789400/
"
近地铁8号线中一路站
",19063元/m2,,/ 2015年建成,塔子湖,江岸,https://wh.lianjia.com/xiaoqu/3720032529647867/
"
近地铁1号线三阳路站
",33579元/m2,,/ 1997年建成,三阳路,江岸,https://wh.lianjia.com/xiaoqu/3711058085677/
"
近地铁2号线长港路站
",18733元/m2,,/ 2012年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711056535186/
"
近地铁2号线汉口火车站站
",18252元/m2,,/ 2013年建成,长丰常码头,江汉,https://wh.lianjia.com/xiaoqu/3716135926852662/
"
近地铁2号线长港路站
",19946元/m2,,/ 2012年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711063096621/
"
近地铁2号线长港路站
",18812元/m2,,/ 2014年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711064071099/
"
近地铁6号线唐家墩站
",24755元/m2,,/ 2016年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/376945018753367/
"
近地铁7号线常码头站
",29943元/m2,,/ 2008年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711099394208/
"
近地铁2号线长港路站
",17412元/m2,,/ 2011年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711056533381/
"
近地铁2号线范湖站
",29789元/m2,,/ 2014年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711100401336/
"
近地铁6号线唐家墩站
",23789元/m2,,/ 2014年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3714624809038813/
"
近地铁3号线云飞路站
",20119元/m2,,/ 2002年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711056687004/
"
近地铁3号线香港路站
",20658元/m2,,/ 2011年建成,台北香港路,江汉,https://wh.lianjia.com/xiaoqu/3711057105654/
"
近地铁2号线范湖站
",24535元/m2,,/ 2010年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711056432849/
"
近地铁6号线石桥站
",16896元/m2,,/ 2001年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711056610532/
"
近地铁2号线长港路站
",15817元/m2,,/ 2004年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711056473121/
"
近地铁2号线长港路站
",17078元/m2,,/ 2000年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711056528251/
"
近地铁7号线园博园站
",14702元/m2,,/ 2000年建成,常青路,江汉,https://wh.lianjia.com/xiaoqu/3711056519685/
"
近地铁6号线杨汊湖站
",15315元/m2,,/ 1992年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711056774068/
"
近地铁6号线石桥站
",14510元/m2,,/ 1996年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711056600597/
"
近地铁3号线云飞路站
",30969元/m2,,/ 2010年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711056513540/
"
近地铁6号线杨汊湖站
",18455元/m2,,/ 2011年建成,塔子湖,江汉,https://wh.lianjia.com/xiaoqu/3711057312347/
"
近地铁2号线范湖站
",22407元/m2,,/ 2011年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711056441173/
"
近地铁2号线江汉路站
",34711元/m2,,/ 2012年建成,前进江汉,江汉,https://wh.lianjia.com/xiaoqu/3711062640768/
"
近地铁2号线汉口火车站站
",25065元/m2,,/ 2016年建成,CBD西北湖,江汉,https://wh.lianjia.com/xiaoqu/3711062872146/
"
近地铁2号线青年路站
",17328元/m2,,/ 2006年建成,武广万松园,江汉,https://wh.lianjia.com/xiaoqu/3711056564021/
"
近地铁7号线园博园站
",20942元/m2,,/ 2011年建成,常青路,江汉,https://wh.lianjia.com/xiaoqu/3711063295147/
"
近地铁2号线青年路站
",16521元/m2,,/ 2004年建成,武广万松园,江汉,https://wh.lianjia.com/xiaoqu/3711063299696/
"
近地铁6号线石桥站
",24008元/m2,,/ 2014年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711062908541/
"
近地铁6号线唐家墩站
",20110元/m2,,/ 2014年建成,唐家墩,江汉,https://wh.lianjia.com/xiaoqu/3711062678213/
"
近地铁2号线长港路站
",14644元/m2,,/ 1996年建成,长港路,江汉,https://wh.lianjia.com/xiaoqu/3711056479246/
"
近地铁2号线长港路站
",14968元/m2,,/ 1987年建成,杨汊湖,江汉,https://wh.lianjia.com/xiaoqu/3711056594228/
"
",14770元/m2,,/ 2016年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/378617642175983/
"
",13236元/m2,,/ 2011年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/3711058727489/
"
",14242元/m2,,/ 2006年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/3711058700627/
"
",14171元/m2,,/ 2011年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/3711057264841/
"
",12895元/m2,,/ 2006年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/3711058754463/
"
近地铁1号线太平洋站
",15632元/m2,,/ 2004年建成,宝丰崇仁,硚口,https://wh.lianjia.com/xiaoqu/3711058976536/
"
近地铁1号线古田三路站
",19132元/m2,,/ 2009年建成,古田,硚口,https://wh.lianjia.com/xiaoqu/3711058846489/
"
近地铁1号线古田三路站
",17043元/m2,,/ 2007年建成,古田,硚口,https://wh.lianjia.com/xiaoqu/3711058850983/
"
近地铁1号线太平洋站
",18742元/m2,,/ 2000年建成,宝丰崇仁,硚口,https://wh.lianjia.com/xiaoqu/3711058917920/
"
近地铁1号线硚口路站
",29641元/m2,,/ 2013年建成,宝丰崇仁,硚口,https://wh.lianjia.com/xiaoqu/3711063255365/
"
",18642元/m2,,/ 2000年建成,古田,硚口,https://wh.lianjia.com/xiaoqu/3711063192446/
"
近地铁1号线太平洋站
",24739元/m2,,/ 2016年建成,宗关,硚口,https://wh.lianjia.com/xiaoqu/3711064079025/
"
",13247元/m2,,/ 2001年建成,长丰常码头,硚口,https://wh.lianjia.com/xiaoqu/3711057798802/
"
",14252元/m2,,/ 2009年建成,古田,硚口,https://wh.lianjia.com/xiaoqu/3711057590913/
